Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold ,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
1,1,37,F1,B12,F1B12,3,4,6,FB0694,1800,C410R6,0,-78.9377,25.6484,58,25.35,-1,25.35,1,1,3,161,1,4,12,54
2,2,0,F1,I7,F1I7,3,4,7,FB0588,1613,C404R6,U,48.7862,67.1484,58,44.45,-1,44.45,1,1,2,186,1,5,7,55
2,2,1,F1,B28,F1B28,3,4,8,FB0685,1728,C314R6,U,41.4861,-46.075,-58,23.48,-1,23.48,1,1,2,177,1,4,28,56
2,2,12,F1,I8,F1I8,3,4,9,FB0645,1646,C303R6,0,41.4861,46.075,-58,41.82,-1,41.82,1,1,3,187,1,5,8,57
2,2,13,F1,I33,F1I33,3,4,10,FB0756,1665,C418R6,0,48.7862,-67.1484,58,25.74,-1,25.74,1,1,3,178,1,5,33,58
2,2,24,F1,I10,F1I10,3,4,11,FB0526,1800,C402R6,0,78.9377,25.6484,58,17.6,-1,17.6,1,1,3,189,1,5,10,59
2,2,25,F1,I1,F1I1,3,4,12,FB0700,1750,C315R6,0,56.6398,-25.2177,-58,25.42,-1,25.42,1,1,3,180,1,5,1,60
2,2,36,F1,I9,F1I9,3,4,13,FB0597,1600,C302R6,0,56.6398,25.2177,-58,45.94,-1,45.94,1,1,3,188,1,5,9,61
2,2,37,F1,I5,F1I5,3,4,14,FB0683,1748,C301R6,0,62,0,-58,22.55,-1,22.55,1,1,3,184,1,5,5,62
4,4,37,F1,R7,F1R7,4,5,0,FB0793,1688,C315R0,0,56.6398,-25.2177,58,28.45,-1,28.45,1,1,3,7,1,1,7,64
2,2,2,F1,Y9,F1Y9,4,5,1,FB0778,1728,C208R0,0,-12.6697,-38.9933,58,31.96,-1,31.96,1,1,3,18,1,2,9,65
2,2,3,F1,Y3,F1Y3,4,5,2,FB0797,1663,C313R0,0,19.1591,-58.9655,58,33.2,-1,33.2,1,1,3,12,1,2,3,66
2,2,14,F1,Y8,F1Y8,4,5,3,FB0707,1669,C207R0,0,-33.1697,-24.0992,58,29.14,-1,29.14,1,1,3,17,1,2,8,67
2,2,15,F1,Y10,F1Y10,4,5,4,FB0785,1655,C415R0,0,-25.6484,-78.9377,-58,33.58,-1,33.58,1,1,3,19,1,2,10,68
2,2,16,F1,Y5,F1Y5,4,5,5,FB0728,1604,C417R0,U,25.6484,-78.9377,-58,32.79,-1,32.79,1,1,2,14,1,2,5,69
2,2,26,F1,Y6,F1Y6,4,5,6,FB0827,1639,C104R0,U,-16.1803,-11.7557,58,27.61,-1,27.61,1,1,2,15,1,2,6,70
2,2,27,F1,Y4,F1Y4,4,5,7,FB0788,1629,C209R0,U,12.6697,-38.9933,58,37.26,-1,37.26,1,1,2,13,1,2,4,71
2,2,28,F1,Y7,F1Y7,4,5,8,FB0692,1698,C312R0,0,-6.48076,-61.6604,58,28.48,-1,28.48,1,1,3,16,1,2,7,72
2,2,39,F1,Y1,F1Y1,4,5,9,FB0789,1663,C314R0,0,41.4861,-46.075,58,36.12,-1,36.12,1,1,3,10,1,2,1,73
2,2,40,F1,Y11,F1Y11,4,5,10,FB0698,1696,C311R0,0,-31,-53.6936,58,27.26,-1,27.26,1,1,3,20,1,2,11,74
4,4,0,F1,R6,F1R6,4,5,11,FB0783,1621,C103R0,0,-16.1803,11.7557,58,30.02,-1,30.02,1,1,3,6,1,1,6,75
4,4,12,F1,R9,F1R9,4,5,12,FB0835,1638,C102R0,0,6.18034,19.0211,58,31.81,-1,31.81,1,1,3,9,1,1,9,76
4,4,24,F1,R5,F1R5,4,5,13,FB0790,1637,C201R0,0,41,0,58,37.84,-1,37.84,1,1,3,5,1,1,5,77
4,4,36,F1,R4,F1R4,4,5,14,FB0791,1611,C210R0,0,33.1697,-24.0992,58,36.94,-1,36.94,1,1,3,4,1,1,4,78
2,2,23,F1,B5,F1B5,5,6,0,FB0821,1706,C17R2,0,-51,-88.3346,23.11,28.43,-1,28.43,1,1,3,146,1,4,5,80
2,2,4,F3,G2,F3G2,5,6,1,FB0812,1714,C13R5,0,-102,-2.11E-11,-46.22,29.65,-1,29.65,1,1,3,96,3,3,2,81
2,2,5,F3,G1,F3G1,5,6,2,FB0844,1654,C11R5,U,-88.3346,51,-46.22,32.8,-1,32.8,1,1,2,95,3,3,1,82
